nx,ny
68,92
72,93
76,92
75,93
72,92
72,90
71,92
70,85
68,84
70,83
71,87
70,87
71,86
72,88
66,84
64,83
63,85
65,85
67,85
67,83
64,86
66,82
64,82
63,79
63,80
65,81
63,78
62,78
61,82
60,80
65,80
64,79
63,81
56,80
55,80
54,80
53,80
52,79
52,80
53,81
55,79
54,78
53,82
56,82
56,83
56,81
55,82
56,87
56,85
55,87
55,84
52,85
54,84
57,86
55,86
48,84
51,67
50,67
50,66
51,66
73,66
74,63
72,66
71,68
72,65
75,60
73,63
67,50
74,65
74,66
73,67
74,68
70,70
68,71
71,69
70,71
69,73
68,73
65,73
66,70
66,69
67,69
69,68
69,70
70,69
56,71
58,72
56,69
55,70
55,69
54,70
53,69
54,71
54,72
56,72
57,71
57,72
58,70
57,70
73,70
71,70
71,71
72,71
73,71
74,71
73,74
74,70
61,78
60,77
60,76
61,75
61,76
62,76
61,77
61,79
60,78
59,77
66,77
65,76
65,74
66,74
67,74
67,77
63,77
64,77
64,76
63,76
69,75
69,76
70,75
71,75
70,76
69,77
69,78
66,62
64,61
65,62
63,59
67,60
67,62
69,59
68,63
67,64
67,65
67,66
66,66
66,63
69,62
69,60
62,66
67,68
63,66
64,67
64,68
63,69
64,69
65,67
64,66
63,64
61,65
61,72
61,70
60,70
60,68
61,68
60,71
59,71
59,69
62,73
63,75
63,72
63,71
62,71
59,64
60,61
59,60
59,62
61,63
61,66
58,66
59,65
60,59
57,63
58,63
57,61
57,60
56,61
56,60
56,64
57,64
58,65
57,65
58,59
54,61
54,60
52,60
53,59
52,57
54,58
55,59
55,61
55,63
53,62
51,61
51,63
49,62
49,64
56,66
51,65
56,67
56,68
55,68
54,68
55,67
55,66
54,65
53,65
53,64
52,71
52,67
52,69
51,69
50,71
48,73
49,70
52,72
51,74
52,74
53,71
53,72
54,73
54,75
52,77
51,77
51,79
53,77
53,76
52,75
52,76
51,76
50,75
45,75
57,77
58,77
56,77
55,76
57,78
57,79
57,80
59,80
57,56
62,57
53,53
55,57
58,56
58,58
59,58
59,53
55,53
62,58
61,56
48,59
48,60
49,60
48,58
46,58
44,55
47,72
49,68
46,71
45,73
44,68
42,65
42,64
33,64
44,62
45,62
46,63
45,65
46,66
45,67
102,94
105,94
103,93
102,93
104,94
105,92
106,96
103,94
102,95
102,96
100,97
102,98
102,99
100,95
97,97
99,96
103,95
100,91
105,90
100,93
98,90
102,88
104,89
104,87
100,88
97,88
97,91
101,93
101,91
100,90
99,90
101,89
101,90
80,96
83,97
81,95
82,95
81,97
81,98
80,97
79,96
80,94
79,94
79,93
77,93
78,91
79,91
80,95
81,96
91,106
88,106
91,107
90,108
90,107
87,105
90,104
90,105
91,105
92,105
94,103
94,106
93,108
92,110
91,110
90,106
84,96
83,98
84,97
86,97
82,99
83,100
84,100
85,97
87,96
84,95
85,96
85,95
86,95
86,96
89,111
87,112
90,109
89,110
88,110
88,113
88,114
89,115
88,111
95,93
94,92
93,93
92,94
93,94
94,96
94,95
96,95
95,94
97,94
96,92
94,91
81,102
81,105
83,102
82,103
82,101
80,100
80,99
80,101
79,102
77,100
77,101
77,103
77,105
80,103
79,105
81,104
80,106
76,103
81,106
80,109
79,107
82,106
82,107
83,110
80,108
78,106
81,107
93,91
92,90
93,92
93,89
94,89
91,88
91,89
92,89
90,101
90,102
91,103
92,102
92,100
92,99
91,98
90,99
88,100
87,101
86,101
85,101
85,102
86,102
84,103
87,103
88,101
86,103
97,103
98,101
97,101
96,100
94,99
95,100
96,104
96,105
97,108
97,106
96,108
98,109
99,110
98,106
102,103
102,102
102,100
101,102
100,103
103,105
103,107
102,106
91,86
92,86
90,85
89,85
89,86
90,86
95,87
94,87
94,86
83,87
82,88
84,88
85,88
86,89
85,87
84,86
83,86
83,91
85,91
84,90
82,89
81,91
82,91
82,92
83,93
84,92
85,93
84,94
85,94
87,92
88,93
88,95
86,107
85,108
87,109
87,108
86,106
85,107
83,106
84,106
85,105
83,104
85,110
86,109
90,113
91,113
90,115
92,113
93,113
94,114
95,114
95,111
93,112
91,111
96,116
102,115
103,110
101,118
103,111
101,109
102,117
103,109
99,114
102,114
127,127
126,127
127,129
144,123
91,77
90,77
91,78
89,79
91,79
91,76
90,76
89,76
89,74
87,74
86,74
89,75
88,77
89,77
91,74
90,75
91,75
92,74
93,74
81,75
82,75
80,75
81,74
82,73
83,75
84,75
85,75
83,76
82,77
81,76
80,76
81,78
79,76
78,76
77,75
79,75
87,68
86,67
85,69
86,69
84,63
88,66
83,68
86,68
80,71
80,73
81,72
80,72
80,74
78,72
78,74
78,71
80,70
81,70
95,77
92,78
93,77
92,77
93,79
94,79
95,78
96,77
94,77
94,76
93,76
93,75
92,83
93,80
91,80
91,83
92,84
93,83
94,84
94,83
92,81
91,81
90,82
90,83
92,82
90,69
92,68
90,68
90,66
89,68
88,68
88,70
91,70
91,71
92,69
91,69
97,79
96,78
98,79
95,80
97,81
98,82
99,81
99,80
83,78
82,79
81,79
84,79
84,80
85,80
85,82
84,81
83,82
83,81
86,77
88,78
85,77
85,78
86,79
87,79
88,79
86,76
87,83
87,80
88,84
87,85
85,84
86,82
87,84
88,82
88,81
87,81
89,80
89,81
85,71
84,70
82,70
82,71
84,72
82,72
83,74
83,73
85,73
86,72
86,71
77,68
78,67
79,65
79,67
80,65
77,66
76,67
77,69
79,68
74,73
72,75
74,75
75,73
76,72
76,70
77,72
77,74
75,74
75,70
76,80
77,81
76,81
76,82
76,78
76,77
78,78
79,79
79,80
74,82
73,80
75,81
75,82
74,83
75,85
73,85
73,86
72,83
73,83
77,86
77,87
77,89
76,89
75,88
75,87
76,86
77,85
77,84
79,87
78,88
81,84
79,85
80,86
81,88
81,87
82,84
83,83
83,84
85,85
84,84
82,83
81,81
81,80
79,81
79,83
81,83
52,38
53,38
48,36
49,37
59,38
55,39
46,35
48,48
60,38
54,38
53,37
51,38
52,33
48,32
56,33
60,37
49,32
58,34
53,32
54,33
53,33
52,32
51,32
50,32
